id,fecha_hora,tipo_dia,horario,contratista,sector,tipo_servicio,valoracion_atencion,satisfaccion_general,percepcion_servicio,recomendacion,tiempo_espera_min,uso_soporte,motivo_no_uso,resuelto_primera,puntualidad,sesgo_captura
SURV-001,2026-01-09 16:00:00,Laboral,Diurno,A,Alpha,Soporte Tecnico,5,5,3,10,3.5,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-002,2026-01-19 15:00:00,Laboral,Diurno,A,Alpha,Soporte Tecnico,4,4,3,6,1.2,No,No lo necesito,No,No,False
SURV-003,2026-01-24 18:00:00,Laboral,Nocturno,B,Beta,Soporte Tecnico,5,5,5,8,0.6,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-004,2026-01-27 15:00:00,Fin de semana,Diurno,B,Gamma,Soporte Tecnico,5,5,4,8,3.0,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-005,2026-01-29 13:00:00,Laboral,Diurno,B,Gamma,Instalacion,5,4,3,6,1.2,Si,,Si,Si,False
SURV-006,2026-02-01 16:00:00,Fin de semana,Diurno,A,Beta,Soporte Tecnico,5,5,4,5,3.1,No sabe - No usa,,Si,Si,True
SURV-007,2026-01-23 18:00:00,Laboral,Diurno,A,Alpha,Instalacion,3,5,4,9,1.9,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-008,2026-01-19 16:00:00,Laboral,Diurno,B,Beta,Soporte Tecnico,5,5,5,6,1.4,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-009,2026-01-12 18:00:00,Laboral,Diurno,B,Gamma,Atencion,5,4,5,10,1.9,Si,,No,No,False
SURV-010,2026-01-22 16:00:00,Laboral,Diurno,A,Beta,Instalacion,5,5,4,7,5.3,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-011,2026-01-17 17:00:00,Laboral,Nocturno,B,Gamma,Instalacion,5,5,4,8,5.8,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-012,2026-01-07 10:00:00,Laboral,Diurno,B,Beta,Instalacion,5,5,5,10,1.6,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-013,2026-01-19 16:00:00,Laboral,Diurno,A,Alpha,Instalacion,5,5,4,9,1.7,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-014,2026-01-27 13:00:00,Laboral,Diurno,A,Beta,Soporte Tecnico,3,5,3,8,3.0,No sabe - No usa,Servicio estable,Si,Si,True
SURV-015,2026-01-23 14:00:00,Laboral,Diurno,A,Beta,Soporte Tecnico,5,5,4,10,0.9,Si,,Si,Si,False
SURV-016,2026-01-31 15:00:00,Laboral,Diurno,B,Beta,Atencion,4,4,5,8,1.9,No,Servicio estable,Si,Si,False
SURV-017,2026-01-16 18:00:00,Laboral,Diurno,B,Gamma,Soporte Tecnico,5,3,4,6,1.5,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-018,2026-01-08 18:00:00,Laboral,Diurno,B,Gamma,Soporte Tecnico,4,4,4,9,1.8,Si,,Si,Si,False
SURV-019,2026-01-09 11:00:00,Laboral,Diurno,A,Alpha,Atencion,5,3,2,9,0.9,No,No lo necesito,Si,Si,False
SURV-020,2026-01-28 16:00:00,Laboral,Diurno,A,Beta,Instalacion,4,4,4,10,0.5,No,Desconozco el canal,Si,Si,False
SURV-021,2026-02-01 16:00:00,Fin de semana,Diurno,B,Beta,Instalacion,5,4,4,8,0.4,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-022,2026-01-22 12:00:00,Laboral,Nocturno,A,Alpha,Instalacion,4,5,4,6,0.7,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-023,2026-01-05 10:00:00,Laboral,Diurno,B,Gamma,Soporte Tecnico,4,5,4,8,1.1,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-024,2026-01-13 09:00:00,Fin de semana,Nocturno,A,Beta,Soporte Tecnico,5,5,4,10,1.2,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-025,2026-01-19 16:00:00,Laboral,Diurno,B,Beta,Instalacion,5,4,4,9,5.3,Si,,Si,Si,False
SURV-026,2026-01-31 13:00:00,Fin de semana,Diurno,A,Beta,Soporte Tecnico,5,5,4,8,3.1,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-027,2026-01-29 18:00:00,Fin de semana,Nocturno,A,Alpha,Instalacion,5,5,5,7,0.8,No sabe - No usa,Desconozco el canal,No,No,True
SURV-028,2026-01-29 13:00:00,Laboral,Diurno,B,Gamma,Soporte Tecnico,5,5,3,10,1.9,No,Desconozco el canal,Si,Si,False
SURV-029,2026-01-14 18:00:00,Laboral,Nocturno,A,Alpha,Soporte Tecnico,4,5,5,9,1.1,Si,,Si,Si,False
SURV-030,2026-01-11 13:00:00,Fin de semana,Diurno,B,Gamma,Soporte Tecnico,5,4,4,7,1.2,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-031,2026-01-07 16:00:00,Laboral,Diurno,B,Gamma,Soporte Tecnico,5,4,5,7,1.7,Si,,No,No,False
SURV-032,2026-01-23 09:00:00,Laboral,Nocturno,A,Beta,Soporte Tecnico,4,3,5,7,2.2,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-033,2026-01-11 14:00:00,Laboral,Diurno,A,Beta,Soporte Tecnico,4,5,3,9,1.2,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-034,2026-01-20 17:00:00,Laboral,Diurno,B,Beta,Instalacion,5,5,5,6,3.0,Si,,Si,Si,False
SURV-035,2026-01-12 18:00:00,Laboral,Diurno,A,Beta,Instalacion,5,4,4,7,0.7,No sabe - No usa,Servicio estable,Si,Si,False
SURV-036,2026-01-17 17:00:00,Laboral,Diurno,B,Beta,Atencion,4,5,5,7,1.5,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-037,2026-01-11 09:00:00,Fin de semana,Diurno,A,Beta,Atencion,4,5,4,9,8.1,No sabe - No usa,Desconozco el canal,No,No,True
SURV-038,2026-01-06 12:00:00,Laboral,Diurno,A,Alpha,Soporte Tecnico,5,5,4,8,1.7,Si,,Si,Si,False
SURV-039,2026-01-31 09:00:00,Laboral,Nocturno,A,Alpha,Instalacion,5,4,4,9,3.8,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-040,2026-01-15 10:00:00,Fin de semana,Nocturno,A,Alpha,Atencion,5,5,2,9,1.6,No sabe - No usa,Desconozco el canal,No,No,True
SURV-041,2026-01-31 15:00:00,Laboral,Diurno,B,Gamma,Atencion,5,5,5,9,2.2,Si,,Si,Si,False
SURV-042,2026-01-26 16:00:00,Laboral,Diurno,A,Alpha,Soporte Tecnico,3,5,3,10,1.4,No sabe - No usa,Servicio estable,Si,Si,True
SURV-043,2026-01-23 16:00:00,Fin de semana,Diurno,A,Alpha,Soporte Tecnico,5,4,5,10,1.3,No sabe - No usa,Desconozco el canal,Si,Si,False
SURV-044,2026-01-05 17:00:00,Laboral,Nocturno,B,Beta,Instalacion,5,5,4,5,0.9,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-045,2026-01-25 16:00:00,Laboral,Nocturno,A,Alpha,Instalacion,5,5,4,8,2.0,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-046,2026-01-16 17:00:00,Laboral,Diurno,B,Beta,Atencion,5,5,5,10,0.9,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-047,2026-01-15 09:00:00,Laboral,Diurno,A,Beta,Soporte Tecnico,4,5,4,9,2.3,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-048,2026-01-30 11:00:00,Laboral,Diurno,B,Gamma,Instalacion,4,2,5,9,3.0,No sabe - No usa,No lo necesito,Si,Si,False
SURV-049,2026-01-07 15:00:00,Laboral,Diurno,B,Beta,Soporte Tecnico,5,5,5,9,1.9,No sabe - No usa,Desconozco el canal,Si,Si,True
SURV-050,2026-01-11 17:00:00,Fin de semana,Diurno,A,Beta,Soporte Tecnico,5,4,3,7,1.2,Si,Desconozco el canal,No,No,False
SURV-051,2026-01-17 09:00:00,Laboral,Diurno,A,Alpha,Instalacion,5,5,5,8,2.0,Si,,Si,Si,False
SURV-052,2026-01-31 14:00:00,Laboral,Diurno,A,Alpha,Atencion,4,5,5,8,1.2,No sabe - No usa,Desconozco el canal,Si,Si,True
